compound_id,smiles
Man3-GlcNAc4-Xyl-Fuc-Gal2-Proteins,C[C@@H]%11(O[C@@H](O[C@H]1([C@@H]([C@@H](CO)O[C@@H](NC(=O)C[C@H](N[a protein])C([a protein])=O)[C@H](NC(=O)C)1)O[C@H]%10([C@H](NC(=O)C)[C@H]([C@H](O[C@H]3([C@@H](O[C@@H]2(OC[C@@H](O)[C@H](O)[C@@H](O)2))[C@H]([C@H](O)[C@H](O3)CO[C@@H]6([C@@H](O[C@@H]4([C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O[C@@H]5(O[C@H](CO)[C@H](O)[C@H](O)[C@@H](O)5))NC(C)=O))[C@H]([C@H](O)[C@H](O6)CO)O))O[C@@H]9([C@@H](O[C@H]7([C@H](NC(=O)C)[C@H]([C@H](O)[C@@H](CO)O7)O[C@@H]8(O[C@H](CO)[C@H](O)[C@H](O)[C@@H](O)8)))[C@@H](O)[C@@H]([C@H](O9)CO)O)))[C@@H](CO)O%10)O)))[C@H]([C@@H]([C@@H]%11O)O)O)
Xyl-Xyl-Glc-EGF-like-domain,C([C@@H](N[a protein with EGF-like domain])CO[C@@H]3(O[C@H](CO)[C@@H](O)[C@H](O[C@H]2(OC[C@@H](O)[C@H](O[C@H]1(OC[C@@H](O)[C@H](O)[C@@H](O)1))[C@@H](O)2))[C@@H](O)3))([a protein with EGF-like domain])=O
CPD-6242,CC(=O)N[C@@H]1([C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O[C@@H]2(C[C@@H](C([a protein])=O)N([a protein])C2))
CPD-8581,CNCCCC[C@@H](C(=O)[a calmodulin])N[a calmodulin]
LysW-Alpha-Aminoadipate,C(=O)(N[C@H](C(=O)[O-])CCCC([O-])=O)CC[C@@H](C(=O)[O-])N[amino group carrier protein]
Xyloglucan-oligosaccharides,C1(C([C@@H](C(C(O1)OC[C@H]2(O[C@H]([C@H](O)[C@@H](O)[C@H](O)2)O[C@H]4([C@H](O)[C@@H](O)[C@@H](O[C@H](COC3(C([C@H](C(CO3)O)O)O[R2]))4)O[C@H]6([C@H](O)[C@@H](O)[C@@H](O[C@H](COC5(C([C@H](C(CO5)O)O)O[R3]))6)O[C@H]7([C@H](O)[C@@H](O)[C@H](O)O[C@H](CO)7)))))O[R1])O)O)
CPD-1108,C(OC(=O)[R1])[C@H](COP(=O)([O-])O[C@@H]1([C@H](O)[C@H](O)[C@@H](OP([O-])(=O)[O-])[C@H](O)[C@@H](O)1))OC(=O)[R2]
Chondroitin-sulfates,CC(=O)N[C@H]2([C@H](O[R1])O[C@H](CO)[C@H](OS(=O)(=O)[O-])[C@H](O[C@@H]1(O[C@H](C(O)=O)[C@@H](O[R2])[C@H](O)[C@@H](OS(=O)(=O)[O-])1))2)
Fluorides,F[R]
25S-rRNA-N3-methyl-uracil-2634,CN1(C(=O)\C=C/N(C(=O)1)[C@@H]2(O[C@H](COP(=O)([O-])O[a 25S rRNA])[C@@H](OP(=O)(O[a 25S rRNA])[O-])[C@@H](O)2))
3-PHOSPHATIDYL-3-O-L-LYSYLGLYCEROL,C(CCC[C@@H](C(OC[C@@H](COP(=O)([O-])OC[C@@H](COC(=O)[R1])OC(=O)[R2])O)=O)[NH3+])[NH3+]
TYR-tRNA-Containing-2O-MeGuanosine,CO[C@@H]3([C@H](OP(=O)(O[a tRNA<SUP>Tyr</SUP>])[O-])[C@@H](COP(=O)([O-])O[a tRNA<SUP>Tyr</SUP>])O[C@@H](N1(C2(\N=C(N)/NC(=O)C(\N=C/1)=2)))3)
Pyrimidine-ribonucleosides-5-P,C(OP(=O)([O-])[O-])[C@H]1(O[C@@H]([a pyrimidine base])[C@H](O)[C@H](O)1)
CPD-18717,C(=O)C(O)CS(=O)(=O)[O-]
CPD-7181,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](NC([R])=O)CO[C@H]1([C@H](O)[C@@H](O)[C@@H]([C@@H](CO)O1)O[C@@H]2(O[C@H](CO)[C@H](O)[C@@H]([C@@H](O)2)O[C@]3(C(=O)[O-])(C[C@@H]([C@@H](NC(=O)C)[C@H]([C@H](O)[C@@H](CO)O)O3)O)))
beta-Gal-13-alpha-GalNac-R,CC(=O)N[C@H]2([C@@H](O[R])O[C@H](CO)[C@@H]([C@H](O[C@@H]1(O[C@H](CO)[C@H](O)[C@H](O)[C@@H](O)1))2)O)
CPD-12145,C([a protein])(=O)[C@@H](N[a protein])CC3(\C4(C(/C1(/NC2(/C=C\C=C/C(/C(\C[C@@H](C([a protein])=O)N[a protein])=1)=2)))=C\C(=O)C(=O)C(N\C=3)=4))
